domain,construct,yrbs_q,yrbs_scale,mcs_var,mcs_scale,recon_type,recode_rule,keep_drop,rationale,status,age_transform,target_scale
ACE outcome,Sexual abuse,Q88,1=Yes/2=No,FCVICF0A,1=Yes/2=No,1,Binary align (Yes=1),keep,MCS broader (any perpetrator) vs YRBS (adult 5+ yrs); document breadth caveat,decided,,binary (0/1)
ACE outcome,Emotional abuse,Q89,1-5 freq,FCVICG00,1=Yes/2=No,2,"TARGET=binary. YRBS Q89 collapse: {2,3,4,5}(Rarely-Always)->1, {1}(Never)->0. MCS FCVICG00: Yes->1, No->0. Harmonise DOWN to MCS binary resolution",keep,"PERPETRATOR MISMATCH: YRBS=caregiver, MCS=any (incl peer). Document as limitation",decided,,binary (0/1)
ACE outcome,Physical abuse,Q90,1-5 freq,FCVICA00,1=Yes/2=No,2,"TARGET=binary. YRBS Q90 collapse: {2,3,4,5}->1, {1}(Never)->0. MCS FCVICA00: Yes->1, No->0",keep,"PERPETRATOR MISMATCH: YRBS=caregiver, MCS=any. Document as limitation",decided,,binary (0/1)
ACE outcome,Witnessed domestic violence,Q91,1-5 freq,FPFORC00,1=Yes/2=No,5,,drop,WEAK: parent-reported IPV (underreported) vs child-witnessed; informant+construct mismatch,decided,,
DROP,Discipline grid,none,,FCDIST00/FCDISG00/FCDISP00,1=Yes/2=No,8,,drop,"Normal discipline, not abuse; no YRBS construct; not ACE-relevant",decided,,
DROP,SDQ emotional problems,Q26/Q84 (concept),,FEMOTION,derived,7,,drop,Parent-report informant mismatch + redundant with self-report SMFQ,decided,,
ACE outcome,Household substance,Q100,1=Yes/2=No,FPDRUG00 + FPALDR00 (+ FPAUSD00/FPAUAC00/FPAUCD00/FPCLSM0R),mixed,5,"TARGET=binary. MCS: (FPDRUG00 in {1,2}=occasionally/regularly) OR (any AUDIT item FPAUSD/FPAUAC/FPAUCD >= monthly) OR FPCLSM0R=1 -> 1, else 0. YRBS Q100 Yes->1",keep,Q100 asks PROBLEM use; AUDIT items/FPCLSM0R match better than frequency alone. Parent-report vs YRBS child-report (informant caveat),decided,,binary (0/1)
ACE outcome,Household mental illness,Q101,1=Yes/2=No,FPDEAN00 (+ FDKESSL),1=Yes/2=No; K6 derived,1,FPDEAN00 diagnosed depression/anxiety -> Yes=1; optionally combine w/ high FDKESSL,keep,FPDEAN00 (diagnosed) cleanest match to Q101. Parent-report vs YRBS child-report (informant caveat),decided,,binary (0/1)
ACE outcome (YRBS-only),Neglect,Q99,1-5 (reverse),none,,8,,yrbs_only,No MCS neglect measure. Source of direction-reversal finding. Stays in YRBS-native outcome only,decided,,
ACE outcome (YRBS-only),Parental separation/incarceration,Q102,1=Yes/2=No,none (parent-absence is different construct),,8,,yrbs_only,Q102 = incarceration-specific; MCS parent-absence = any-reason separation (over-captures). No clean match,decided,,
Feature: Tobacco,Ever smoked cigarettes,Q31,1=Yes/2=No,FCSMOK00,1-6 freq/history,3,"FCSMOK00 in {2,3,4,5,6}=ever(1), {1}=never(0)",keep,Single MCS var; collapse 6-level to binary,decided,,binary (0/1)
Feature: Tobacco,Current cigarette use,Q33,days 0-30 bands,FCSMOK00,1-6 freq/history,2,"FCSMOK00 in {4,5,6}=current; YRBS days->current smoker. Ordinal or binary",keep,Derived from same FCSMOK00 (diff threshold than Q31). Days vs intensity,decided,,binary (0/1) or ordinal
Feature: Tobacco,Age first smoked,Q32,age years,FCAGSM00,age years,1,TARGET: transform BOTH to (reference_age - age_first) OR early-onset(<13)=1. MCS ref age=14; YRBS ref age=Q1. Do NOT use raw age (MCS all-14),keep,Direct match; flag age-sensitivity,decided,YES: convert to (current_age - age_first) or early-onset binary (<13). MCS all-14 vs YRBS 14-18,continuous years-before-14 OR early-onset binary <13
Feature: Tobacco,E-cigarette/vape ever,Q35,1=Yes/2=No,FCECIG00,1-4 freq,3,"FCECIG00 in {2,3,4}=ever(1),{1}=never(0)",keep,Collapse 4-level to binary,decided,,binary (0/1)
Feature: Tobacco,E-cigarette/vape current,Q36,days 0-30,FCECIG00,1-4 freq,3,"FCECIG00 in {3,4}=current",keep,"Same var, current threshold",decided,,binary (0/1)
Feature: Tobacco,Tried to quit tobacco,Q40,1=Yes/2=No,none,,8,,yrbs_only,MCS has no quit-attempt item,decided,,
Feature: Alcohol,Ever drank alcohol,Q41,"1=never,2-7=age bands",FCALCD00,1=Yes/2=No,6,"TARGET=binary. YRBS Q41: {2,3,4,5,6,7}->ever=1, {1}=never->0. MCS FCALCD00 Yes->1",keep,YRBS combines ever+age in one item; MCS splits,decided,,binary (0/1)
Feature: Alcohol,Age first drank,Q41,age bands,FCALAG00,age years,6,TARGET: (ref_age - age_first). YRBS: take band midpoint age from Q41 codes 2-7; MCS FCALAG00 direct. Then ref-age transform. NOT raw age,keep,Derived from combined YRBS Q41,decided,YES: convert to (current_age - age_first) or early-onset binary (<13). MCS all-14 vs YRBS 14-18,continuous years-before-14 OR early-onset binary
Feature: Alcohol,Past-month alcohol use,Q42,days 0-30 bands,FCALNF00,1-7 freq (4wk),2,"TARGET 4-level. Map MCS FCALNF00 (1=Never,2=1-2,3=3-5,4=6-9,5-7=10+) and YRBS Q42 days->same 4 bins: 0/1-2/3-9/10+",keep,Temporal match good,decided,,common 4-level: none/1-2/3-9/10+
Feature: Alcohol,Ever binge (5+),Q43/Q44,days/number,FCALFV00,1=Yes/2=No,5,TARGET=binary. MCS FCALFV00 ever5+ Yes->1. YRBS Q43 past-30 4+/5+ >=1 day->1. Caveat: MCS-ever vs YRBS-30d window + threshold 5 vs 4F/5M,keep,THRESHOLD: YRBS sex-specific (4F/5M) vs MCS flat 5+. Window: ever vs 30d,decided,,binary (0/1)
Feature: Alcohol,Past-year binge freq,Q43,days past 30,FCALFN00,1-5 freq (12mo),2,"TARGET 3-level. MCS FCALFN00 (1=Never,2=1-2,3+=3plus)->none/1-2/3+. YRBS Q43 days->same. Window caveat 12mo vs 30d documented",keep,Window mismatch caveat,decided,,common 3-level: none/1-2/3+
Feature: Alcohol,How got alcohol,Q45,categorical,none,,8,,yrbs_only,MCS no acquisition item,decided,,
Feature: Cannabis,Ever/times used cannabis,Q46,lifetime times bands,FCCANO00,1-? lifetime freq bands,2,"TARGET 3-level. MCS FCCANO00 (1=once-twice,2=3-4,3-4=5+) + MCS ever-flag FCCANB00 for never. YRBS Q46: 0=never/1-2/3+. Combine MCS never(FCCANB00=No)->0",keep,UPGRADED to frequency: both MCS(FCCANO00) and YRBS(Q46) are frequency - preserve info vs binary collapse,decided,,common 3-level: never/1-2/3+
Feature: Cannabis,Age first cannabis,Q47,age bands,none,,8,,yrbs_only,MCS no age-first-cannabis,decided,YES: convert to (current_age - age_first) or early-onset binary (<13). MCS all-14 vs YRBS 14-18,
Feature: Cannabis,Cannabis past 30 days,Q48,times,none (FCCANO00 is lifetime),,8,,yrbs_only,"MCS cannabis is lifetime, no past-30 window",decided,,
