cohort,threshold,family,settings,protocol_id,settings_digest
mcs,>=1,L1_LR,{'C': 0.1},consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=1,L2_LR,{'C': 0.01},consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=1,EN_LR,"{'C': 0.01, 'l1_ratio': 0.15}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=1,RF,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=1,ET,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 500}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=1,HistGB,"{'l2_regularization': 1, 'learning_rate': 0.05, 'max_depth': 2, 'max_iter': 200}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=1,LightGBM,"{'learning_rate': 0.02, 'min_child_samples': 50, 'n_estimators': 300, 'num_leaves': 7, 'reg_lambda': 1}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=1,XGB,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 200, 'reg_lambda': 5, 'subsample': 0.8}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=1,CatBoost,"{'boosting_type': 'Plain', 'depth': 2, 'iterations': 500, 'l2_leaf_reg': 10, 'learning_rate': 0.02}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=2,L1_LR,{'C': 0.1},consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=2,L2_LR,{'C': 0.01},consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=2,EN_LR,"{'C': 0.01, 'l1_ratio': 0.5}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=2,RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=2,ET,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=2,HistGB,"{'l2_regularization': 1, 'learning_rate': 0.05, 'max_depth': 2, 'max_iter': 200}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=2,LightGBM,"{'learning_rate': 0.02, 'min_child_samples': 50, 'n_estimators': 300, 'num_leaves': 7, 'reg_lambda': 1}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=2,XGB,"{'colsample_bytree': 0.7, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.7}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=2,CatBoost,"{'boosting_type': 'Plain', 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 10, 'learning_rate': 0.02}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=3,L1_LR,{'C': 0.1},consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=3,L2_LR,{'C': 0.01},consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=3,EN_LR,"{'C': 0.01, 'l1_ratio': 0.5}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=3,RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=3,ET,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=3,HistGB,"{'l2_regularization': 10, 'learning_rate': 0.02, 'max_depth': 2, 'max_iter': 300}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=3,LightGBM,"{'learning_rate': 0.02, 'min_child_samples': 20, 'n_estimators': 300, 'num_leaves': 7, 'reg_lambda': 1}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=3,XGB,"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 10, 'n_estimators': 300, 'reg_lambda': 10, 'subsample': 0.7}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
mcs,>=3,CatBoost,"{'boosting_type': 'Plain', 'depth': 2, 'iterations': 500, 'l2_leaf_reg': 10, 'learning_rate': 0.02}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=1,L1_LR,{'C': 0.1},consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=1,L2_LR,{'C': 0.01},consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=1,EN_LR,"{'C': 0.01, 'l1_ratio': 0.15}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=1,RF,"{'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 500}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=1,ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 500}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=1,HistGB,"{'l2_regularization': 0, 'learning_rate': 0.05, 'max_depth': 2, 'max_iter': 300}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=1,LightGBM,"{'learning_rate': 0.02, 'min_child_samples': 50, 'n_estimators': 300, 'num_leaves': 7, 'reg_lambda': 1}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=1,XGB,"{'colsample_bytree': 0.7, 'learning_rate': 0.02, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 500, 'reg_lambda': 5, 'subsample': 0.8}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=1,CatBoost,"{'boosting_type': 'Plain', 'depth': 4, 'iterations': 500, 'l2_leaf_reg': 10, 'learning_rate': 0.02}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=2,L1_LR,{'C': 0.1},consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=2,L2_LR,{'C': 0.01},consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=2,EN_LR,"{'C': 0.01, 'l1_ratio': 0.15}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=2,RF,"{'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 300}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=2,ET,"{'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 300}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=2,HistGB,"{'l2_regularization': 10, 'learning_rate': 0.05, 'max_depth': 2, 'max_iter': 500}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=2,LightGBM,"{'learning_rate': 0.02, 'min_child_samples': 50, 'n_estimators': 300, 'num_leaves': 7, 'reg_lambda': 1}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=2,XGB,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 200, 'reg_lambda': 5, 'subsample': 0.8}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=2,CatBoost,"{'boosting_type': 'Plain', 'depth': 4, 'iterations': 500, 'l2_leaf_reg': 10, 'learning_rate': 0.02}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=3,L1_LR,{'C': 0.1},consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=3,L2_LR,{'C': 0.01},consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
yrbs,>=3,EN_LR,"{'C': 0.01, 'l1_ratio': 0.15}",consensus3-seeds012-cv5-auc-c94da05404c5,sha256:5cfd970d18682b045716003521ec72b3671ec0a0afaaa59fb251c60e06263345
